"Type";"Status";"Name";"Gas in storage (TWh)";"Full (%)";"Trend (%)";"Consumption (TWh)";"Stock/Cons (%)";"Injection (GWh/d)";"Withdrawal (GWh/d)";"Technical Capacity (TWh)";"Injection Capacity (GWh/d)";"Withdrawal Capacity (GWh/d)";"Contracted Capacity (TWh)";"Available Capacity (TWh)";"Covered Capacity (%)"
"EU";"E";"EU";"823.8695";"72.3";"-0.33";"3760.87";"21.91";"569.78";"4326.1";"1139.4835";"11656.29";"19938";"0";"0";"100"
"country";"C";"Austria";"80.8987";"82.85";"-0.1";"91";"88.9";"24.99";"121.6";"97.6438";"852.33";"1070.84";"0";"0";"100"
"company";"C";"astora";"15.8244";"84.07";"0.13";"0";"0";"24.99";"0.7";"18.8227";"164.16";"176.32";"18.8227";"0";"0"
"facility";"C";"UGS Haidach (astora)";"15.8244";"84.07";"0.13";"0";"0";"24.99";"0.7";"18.8227";"164.16";"176.32";"18.8227";"0";"0"
"company";"N";"GSA";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"facility";"N";"UGS Haidach (GSA) // historical data prior to 6 Oct 2022";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"company";"C";"OMV Gas Storage";"22.428";"85.24";"-0.26";"0";"0";"0";"68.4";"26.3122";"213.34";"308.31";"27.8917";"0";"0"
"facility";"C";"VGS OMV Gas Storage Pool (Tallesbrunn & Schönkirchen / Reyersdorf)";"22.428";"85.24";"-0.26";"0";"0";"0";"68.4";"26.3122";"213.34";"308.31";"27.8917";"0";"0"
"company";"C";"RAG Energy Storage";"27.9582";"80.61";"-0.08";"0";"0";"0";"27";"34.684";"328.87";"367.27";"0";"0";"0"
"facility";"C";"RAG Storage Pool (Puchkirchen / Haag, Aigelsbrunn, Haidach 5, 7Fields-RAG, Haidach)";"27.9582";"80.61";"-0.08";"0";"0";"0";"27";"34.684";"328.87";"367.27";"0";"0";"0"
"company";"C";"Uniper Energy Storage (AT)";"14.6882";"82.4";"-0.14";"0";"0";"0";"25.5";"17.825";"145.96";"218.94";"17.8138";"0.0112";"0"
"facility";"C";"UGS 7 Fields (Uniper Energy Storage) - AT";"14.6882";"82.4";"-0.14";"0";"0";"0";"25.5";"17.825";"145.96";"218.94";"17.8138";"0.0112";"0"
"country";"C";"Belgium";"5.4019";"61.18";"-0.19";"167.36";"3.23";"0";"16.8";"8.83";"88.14";"169.66";"0";"0";"100"
"company";"C";"Fluxys";"5.4019";"61.18";"-0.19";"0";"0";"0";"16.8";"8.83";"88.14";"169.66";"0";"0";"0"
"facility";"C";"UGS Loenhout";"5.4019";"61.18";"-0.19";"0";"0";"0";"16.8";"8.83";"88.14";"169.66";"0";"0";"0"
"country";"C";"Bulgaria";"4.1859";"71.07";"-0.62";"31.09";"13.46";"0";"36.3";"5.8898";"41.23";"40.91";"0";"0";"100"
"company";"C";"Bulgartransgaz";"4.1859";"71.07";"-0.62";"0";"0";"0";"36.3";"5.8898";"41.23";"40.91";"5.8898";"0";"0"
"facility";"C";"UGS Chiren";"4.1859";"71.07";"-0.62";"0";"0";"0";"36.3";"5.8898";"41.23";"40.91";"5.8898";"0";"0"
"country";"C";"Croatia";"2.6599";"55.73";"-0.66";"28.02";"9.49";"0.2";"34.1";"4.7725";"43.87";"51.57";"0";"0";"100"
"company";"C";"PSP";"2.6599";"55.73";"-0.66";"0";"0";"0.2";"34.1";"4.7725";"43.87";"51.57";"0";"0";"0"
"facility";"C";"UGS Okoli";"2.6599";"55.73";"-0.66";"0";"0";"0.2";"34.1";"4.7725";"43.87";"51.57";"0";"0";"0"
"country";"C";"Czech Republic";"34.2401";"76.3";"-0.14";"84.83";"40.36";"3.45";"66";"44.8731";"511.85";"695.92";"0";"0";"100"
"company";"C";"Gas Storage CZ";"21.9137";"74.56";"-0.15";"0";"0";"2.84";"46.7";"29.3896";"323.51";"424.09";"29.1896";"0.2";"0"
"facility";"C";"VGS RWE (Háje, Třanovice, Štramberk, Tvrdonice, Dolni Dunajovice, Lobodice)";"21.9137";"74.56";"-0.15";"0";"0";"2.84";"46.7";"29.3896";"323.51";"424.09";"29.1896";"0.2";"0"
"company";"C";"MND Energy Storage";"2.359";"63.83";"-0.33";"0";"0";"0.61";"12.7";"3.696";"59";"96";"0";"0";"0"
"facility";"C";"UGS Uhřice";"2.359";"63.83";"-0.33";"0";"0";"0.61";"12.7";"3.696";"59";"96";"0";"0";"0"
"company";"C";"Moravia Gas Storage";"3.3229";"68.6";"-0.14";"0";"0";"0";"6.6";"4.8436";"55";"80.25";"0";"0";"0"
